Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior,Poblation,% Total Paro Registrado,% Hombre edad < 25,% Hombre edad 25-45,% Hombre edad >=45,% Mujer edad < 25,% Mujer edad 25-45,% Mujer edad >= 45,% Paro Agricultura,% Paro Industria,% Paro Construcción,% Paro Servicios,% Paro Sin empleo Anterior
Apr,Andalucía,978297,43593,190621,194878,42170,261692,245343,71597,61299,101074,657397,86930,8464411,0.11557768166030691,0.005150151617165093,0.02252029113425612,0.02302322039891494,0.004982035962100612,0.030916740692293887,0.028985241855576247,0.008458592098138902,0.007241968756006767,0.011941055319738136,0.07766600653016495,0.01027005895625815
Apr,Aragón,79214,4269,14028,15627,3851,19993,21446,3591,8990,5444,55588,5601,1329391,0.05958668292473772,0.0032112448482049297,0.010552200217994556,0.0117550066158113,0.0028968151582190642,0.01503921720547228,0.016132198879035588,0.002701236882151301,0.006762495007112279,0.004095108211203476,0.0418146354232878,0.004213207400982856
Apr,Principado de Asturias,83793,3047,16267,18868,2723,20084,22804,1433,7211,7657,60588,6904,1018784,0.08224805258033106,0.002990820429060527,0.01596707447309734,0.018520118101579924,0.0026727942331249803,0.01971369789867136,0.022383547444796936,0.0014065788233816,0.0070780459842321826,0.007515822784810127,0.05947089863994723,0.006776706347959921
Apr,Islas Baleares,72542,4789,15672,13212,4497,19216,15156,828,2986,8198,57532,2998,1171543,0.06192004902935701,0.004087771426230194,0.013377229858400418,0.011277434972510611,0.003838527480425388,0.016402300214332723,0.012936785077457678,0.0007067602298848612,0.0025487754184012027,0.006997609135985619,0.04910788592480174,0.002559018320283592
Apr,Canarias,254981,9645,47987,59819,8571,59514,69445,5087,9842,26374,197385,16293,2175952,0.11718135326514556,0.004432542629616829,0.022053335735347103,0.027490955682845944,0.003938965565416884,0.02735078714971654,0.031914766502202256,0.002337827305014081,0.004523077714949595,0.012120671779524549,0.0907120193827805,0.007487757082876828
Apr,Cantabria,43669,1772,8453,9646,1571,10813,11414,699,3482,3731,32801,2956,582905,0.07491615271785282,0.003039946474983059,0.014501505391101467,0.016548151070929225,0.0026951218466130843,0.01855019256997281,0.01958123536425318,0.001199166244928419,0.005973529134250006,0.006400699942529228,0.056271605150067336,0.005071152246077834
Apr,Castilla-La Mancha,199019,9538,32143,37755,8840,51741,59002,15583,19837,18007,132102,13490,2045221,0.09730928833607713,0.004663554696534017,0.01571614999063671,0.018460107734078614,0.004322271285108064,0.025298488525200943,0.02884871610451878,0.007619225501791738,0.009699196321571115,0.008804427492187886,0.064590574808297,0.006595864212229388
Apr,Castilla y León,166354,7679,29040,36903,6723,38616,47393,8684,15318,12998,115801,13553,2394918,0.0694612508653741,0.0032063728277961917,0.012125676119182369,0.015408878299799826,0.0028071942337900505,0.01612414287253259,0.019788986512273073,0.0036260114124993005,0.006396043622370369,0.005427325695493541,0.0483528037285619,0.005659066406448989
Apr,Cataluña,467810,18857,88979,104691,16566,108080,130637,8526,49903,38706,345370,25305,7780479,0.06012611819914943,0.0024236297019759323,0.011436185355683115,0.013455598299282088,0.002129174823298154,0.013891175594715956,0.01679035442419419,0.001095819421914769,0.0064138724620939145,0.004974757980838969,0.04438929788255967,0.00325237045174211
Apr,Ceuta,11899,632,2168,2114,748,3447,2790,76,471,575,8803,1974,84202,0.14131493313698013,0.007505759958195767,0.025747606945203203,0.025106292012066222,0.008883399444193725,0.04093726989857723,0.03313460487874397,0.000902591387377972,0.005593691361250327,0.006828816417662288,0.10454621030379325,0.023443623666896275
Apr,Comunidad Valenciana,439942,19919,75798,92286,17711,106216,128012,13798,58134,36774,306062,25174,5057353,0.0869905660134857,0.003938621646541185,0.01498768229150704,0.018247885801129564,0.0035020296190517055,0.021002291119484838,0.025312055535771382,0.002728304708016229,0.011494946071591206,0.007271392762182114,0.06051821970900588,0.004977702762690285
Apr,Extremadura,115445,5592,19211,22668,5272,30043,32659,11034,7017,11048,80304,6042,1063987,0.1085022655351992,0.005255703312164528,0.018055671732831322,0.02130477158085578,0.004954947757820349,0.02823624724738178,0.030694923904145445,0.010370427458230223,0.0065950053901034505,0.010383585513732781,0.07547460636267173,0.00567864081046103
Apr,Galicia,191629,4919,35436,44627,4631,47574,54442,6385,21221,16358,134031,13634,2701819,0.07092592064827437,0.0018206252898510225,0.013115608410481976,0.016517390691234313,0.0017140304365318329,0.01760813733266366,0.020150128487511562,0.002363222702927176,0.007854338132939327,0.006054439620122591,0.04960769022647335,0.005046229965811922
Apr,Comunidad de Madrid,405023,16496,74174,86517,15554,98994,113288,2925,23609,34065,321096,23328,6779888,0.05973889244188105,0.0024330785405304632,0.010940298718798895,0.012760830267402648,0.0022941381922533233,0.014601126154296354,0.016709420568599365,0.0004314230559560866,0.0034822109155785465,0.005024419282442424,0.0473600743847096,0.003440764803194389
Apr,Melilla,9350,599,1385,1682,720,2685,2279,63,157,663,6780,1687,87076,0.10737746336533603,0.006879048187789977,0.015905645642886674,0.0193164591850797,0.008268638890164914,0.030835132527906657,0.02617253893150811,0.0007235059028894299,0.0018030226468831825,0.007614038311360191,0.0778630162157196,0.019373880288483622
Apr,Región de Murcia,114208,5628,19538,21823,5545,30419,31255,6704,12502,10136,75671,9195,1511251,0.07557182757860871,0.0037240670146785676,0.012928361999429611,0.014440354381899499,0.0036691456283569042,0.020128357235164773,0.020681541319079358,0.004436059926511215,0.008272616527631744,0.00670702616573951,0.050071761739115477,0.006084363219610773
Apr,Navarra,40442,2125,7718,7753,1966,10502,10378,2068,5210,1990,28021,3153,661197,0.061164826821658295,0.0032138681814950763,0.011672769235190117,0.011725703534650037,0.002973395221091445,0.015883314655087667,0.015695775994143953,0.0031276608938032085,0.007879648576747928,0.003009693026435389,0.042379200147611075,0.004768624177060694
Apr,País Vasco,138643,5617,27291,29797,5077,34339,36522,2764,16730,9475,94462,15212,2220504,0.0624376267730209,0.002529605891275134,0.012290452978242777,0.013419025590586641,0.002286417858288028,0.015464507156933741,0.01644761729769458,0.0012447624503265926,0.007534325540507921,0.004267049282505233,0.042540792540792544,0.0068506969588886125
Apr,La Rioja,18943,734,3258,4120,636,4514,5681,1590,3592,1168,11689,904,319914,0.05921278843689241,0.0022943666110267135,0.01018398694649187,0.012878461086416975,0.0019880342842138825,0.014110042073807335,0.017757897434935638,0.0049700857105347065,0.01122801752971111,0.003650981201197822,0.03653794457260389,0.0028257594228448895
Aug,Andalucía,957727,44504,171714,183664,44549,262380,250916,88202,54945,86653,626609,101318,8464411,0.11314750666053433,0.005257778716085502,0.02028658580024056,0.0216983792493063,0.005263095093090352,0.030998022189612486,0.029643645612199124,0.010420335212928579,0.006491296322921937,0.010237333702250518,0.07402865952515775,0.011969881897275545
Aug,Aragón,76923,4351,12594,15028,3922,19710,21318,4076,8870,4758,52278,6941,1329391,0.05786333742292524,0.0032729272275801476,0.009473510803066968,0.011304424356716723,0.002950223072068338,0.014826337774213907,0.01603591418927915,0.003066065589431552,0.006672228110465619,0.0035790824520400694,0.03932477352411744,0.00522118774687056
Aug,Principado de Asturias,77298,3027,14039,17638,2416,18091,22087,1454,6612,6449,55029,7754,1018784,0.07587280522662311,0.002971189182397839,0.01378015359487389,0.017312796431824606,0.0023714545968527186,0.017757444168734492,0.021679767251939566,0.0014271916323774225,0.006490090146684675,0.0063300954863837675,0.05401439363005308,0.007611034331124164
Aug,Islas Baleares,73753,5043,14924,14130,4568,19152,15936,919,3075,9576,55880,4303,1171543,0.06295372854432146,0.0043045795160741,0.012738755641064818,0.012061016966513393,0.0038991313165628576,0.016347671404293312,0.013602573699812982,0.0007844355691596467,0.0026247436073622565,0.008173835702146656,0.047697779765659476,0.0036729338999934276
