Month,Comunidad Autónoma,Total Paro Registrado,Hombre edad < 25,Hombre edad 25-45,Hombre edad >=45,Mujer edad < 25,Mujer edad 25-45,Mujer edad >= 45,Paro Agricultura,Paro Industria,Paro Construcción,Paro Servicios,Paro Sin empleo Anterior
Feb,Ceuta,11303,618,1964,1997,724,3265,2735,72,448,469,8358,1956
Feb,Comunidad Valenciana,366262,15037,53371,78602,13613,86992,118647,13015,47709,27100,256085,22353
Feb,Extremadura,105246,5023,15527,20430,4824,27631,31811,11234,6215,8334,73761,5702
Feb,Galicia,166229,4032,27273,40133,3816,39888,51087,6029,18297,13613,114987,13303
Feb,Comunidad de Madrid,352896,14677,57590,76609,13300,83635,107085,2835,21292,27405,278260,23104
Feb,Melilla,9329,619,1335,1641,717,2703,2314,68,147,598,6818,1698
Feb,Región de Murcia,101485,5056,15325,19514,4980,26769,29841,6797,10684,7893,66933,9178
Feb,Navarra,33975,1611,5629,6745,1573,8865,9552,1995,4639,1584,22822,2935
Feb,País Vasco,117239,4503,20581,26034,4123,28320,33678,2543,13963,7913,78862,13958
Feb,La Rioja,16454,567,2505,3672,505,3808,5397,1557,3052,925,10029,891
Jul,Andalucía,958195,44129,173756,183352,43296,262439,251223,99031,54705,84098,623198,97163
Jul,Aragón,75785,4145,12479,14891,3771,19332,21167,4034,8796,4713,51649,6593
Jul,Principado de Asturias,77633,2959,14246,17753,2385,18187,22103,1419,6679,6599,55435,7501
Jul,Islas Baleares,71547,4892,14332,13481,4424,18756,15662,912,3002,8659,55020,3954
Jul,Canarias,257649,9640,46199,59184,8618,61535,72473,5312,9647,23434,201042,18214
Jul,Cantabria,39707,1572,7123,9203,1236,9657,10916,675,3283,3023,29573,3153
Jul,Castilla-La Mancha,186107,8432,27079,33732,8168,50151,58545,15931,17604,13425,124358,14789
Jul,Castilla y León,155323,7038,25355,32696,6413,37402,46419,8436,14244,10307,107400,14936
Jul,Cataluña,469349,19020,84657,102920,16667,112075,134010,9191,49117,35567,346486,28988
Jul,Ceuta,12692,699,2240,2155,790,3850,2958,88,455,517,9474,2158
Jul,Comunidad Valenciana,435014,21774,69201,89353,18727,106360,129599,16754,54762,32853,296719,33926
Jul,Extremadura,106007,5090,16077,20224,4902,28125,31589,11811,6049,8271,72843,7033
Jul,Galicia,175311,4407,29550,40820,4175,43705,52654,6045,19357,13862,121372,14675
Jul,Comunidad de Madrid,423538,16768,74262,86754,16121,108185,121448,3028,24228,31177,338652,26453
Jul,Melilla,9429,575,1363,1659,659,2880,2293,71,155,598,6841,1764
Jul,Región de Murcia,117238,5836,20104,22776,5523,31091,31908,10390,11716,9091,75624,10417
Jul,Navarra,40048,2306,7376,7428,2036,10560,10342,2350,5537,1763,26748,3650
Jul,País Vasco,143360,6969,27470,29999,5794,35847,37281,2915,17269,9287,96571,17318
Jul,La Rioja,19102,745,3094,4109,663,4678,5813,2202,3430,997,11380,1093
Jun,Andalucía,980096,45703,180598,185618,45588,269653,252936,92607,56978,85380,648584,96547
Jun,Aragón,76460,4072,12927,14899,3663,19585,21314,3559,8739,4784,53250,6128
Jun,Principado de Asturias,80990,2946,15224,18341,2436,19312,22731,1429,6901,6945,58468,7247
Jun,Islas Baleares,74293,5016,15466,13509,4589,19747,15966,923,3055,8140,58581,3594
Jun,Canarias,261714,10254,48314,59864,9404,62117,71761,5311,9830,24187,204200,18186
Jun,Cantabria,42578,1657,7875,9540,1367,10624,11515,707,3596,3211,31932,3132
Jun,Castilla-La Mancha,187732,8480,27799,34300,8066,50214,58873,14963,18170,13963,126557,14079
Jun,Castilla y León,165481,8157,27827,34722,7323,39249,48203,8447,15194,11221,115698,14921
Jun,Cataluña,485019,20965,90147,105065,19007,115446,134389,9004,50289,36672,360556,28498
Jun,Ceuta,12142,670,2226,2106,735,3560,2845,85,475,532,8959,2091
Jun,Comunidad Valenciana,456796,27139,73937,91045,24205,109662,130808,16291,56677,33399,309153,41276
Jun,Extremadura,108558,5035,16580,20457,4761,29119,32606,10928,6381,8549,76265,6435
Jun,Galicia,184654,4818,32535,42602,4553,46174,53972,6271,20338,14668,128986,14391
Jun,Comunidad de Madrid,417199,16063,74766,86686,15173,105886,118625,2851,24168,31370,334354,24456
Jun,Melilla,9461,554,1409,1666,652,2845,2335,68,151,623,6920,1699
Jun,Región de Murcia,115929,5494,19493,22111,5312,31352,32167,9021,12074,9061,75989,9784
Jun,Navarra,40464,2270,7495,7552,2011,10683,10453,2301,5579,1818,27267,3499
Jun,País Vasco,144448,7280,27889,29966,6396,35579,37338,2887,17421,9279,97647,17214
Jun,La Rioja,18869,720,3094,4022,624,4552,5857,1834,3463,995,11582,995
 Mar,Andalucía,945333,41002,183513,191384,40105,250500,238829,68941,58276,104286,628660,85170
 Mar,Aragón,72481,3766,11917,14464,3457,18261,20616,3800,8188,4763,50206,5524
 Mar,Principado de Asturias,77451,2751,14150,17546,2485,18595,21924,1395,6573,6829,55864,6790
 Mar,Islas Baleares,62769,3926,12706,11402,3790,16838,14107,693,2462,6133,50731,2750
 Mar,Canarias,227634,8115,39765,54498,7407,52312,65537,4622,8861,23433,174836,15882
 Mar,Cantabria,40642,1610,7460,8999,1445,10069,11059,686,3256,3228,30562,2910
 Mar,Castilla-La Mancha,188012,8752,28781,35926,8329,48731,57493,15252,18278,17034,124168,13280
 Mar,Castilla y León,152644,6744,25124,34465,5979,35034,45298,8272,13935,11643,105750,13044
 Mar,Cataluña,417047,16549,72553,94651,14764,94737,123793,8400,45056,32290,306358,24943
 Mar,Ceuta,11480,619,2041,2044,735,3305,2736,75,445,531,8468,1961
